CO SAO CARLOS 02,13571271,AVENIDA GETULIO VARGAS 2875,RECREIO SAO JUDAS TADEU,SAO CARLOS,SP
CO LEME 02,13614100,AVENIDA BERTA BUHRHEIN 393,VILA JOEST,LEME,SP
CO PIRASSUNUNGA 01,13630145,RUA 15 DE NOVEMBRO 2560,CENTRO,PIRASSUNUNGA,SP
CO PORTO FERREIRA 01,13660092,AVENIDA JOAO MARTINS DA SILVEIRA SOBRINHO 553,JARDIM PRIMAVERA,PORTO FERREIRA,SP
CO SAO JOSE DO RIO PARDO 01,13720000,Rua FRANCISCO GLICERIO 1444,VILA BRASIL,SAO JOSE DO RIO PARDO,SP
CO MOCOCA 01,13730250,RUA VISCONDE DO RIO BRANCO 362,APARECIDA,MOCOCA,SP
CO MOGI MIRIM 01,13801500,RUA MANAUS 740,JARDIM GETULIO VARGAS,MOGI MIRIM,SP
CO HOLAMBRA 01,13825000,"Rod. PREF. AZIZ LIAN (SP 107) KM 30,5 SP-107 ",BORDA DA MATA,HOLAMBRA,SP
CO SAO JOAO DA BOA VISTA 01,13871503,RUA VICENTE FARIAS 140B,JARDIM DO TREVO,SAO JOAO DA BOA VISTA,SP
CO VARGEM GRANDE DO SUL 01,13880000,RUA DR. TEOFILO RIBEIRO DE ANDRADE 160,,VARGEM GRANDE DO SUL,SP
CO AMPARO 02,13901310,RUA ANA CINTRA 317,JARDIM PRIMAVERA,AMPARO,SP
CO JAGUARIUNA 01,13911152,RUA PARA 156,JARDIM FONTANELLA,JAGUARIUNA,SP
CO AGUAS DE LINDOIA 01,13940000,Rua MONTE SIAO 413,BELA VISTA,AGUAS DE LINDOIA,SP
CO ESPIRITO SANTO DO PINHAL 01,13990000,RUA BARAO DE MOTA PAES 111,CENTRO,ESPIRITO SANTO DO PINHAL,SP
LJ RIBEIRAO PRETO 02,14075600,AVENIDA MARECHAL COSTA E SILVA 3325,VILA BRASIL,RIBEIRAO PRETO,SP
CO RIBEIRAO PRETO 01,14091160,AVENIDA DOUTOR PLINIO DE CASTRO PRADO 173,JARDIM PALMA TRAVASSOS,RIBEIRAO PRETO,SP
CO SERTAOZINHO 01,14170690,RUA FIORAVANTE SICCHIERI 641,JARDIM SAO JOSE,SERTAOZINHO,SP
LJ FRANCA 01,14405103,RUA VOLUNTARIOS DA FRANCA 607,ESTACAO,FRANCA,SP
CO FRANCA 01,14409144,RUA AUSTIN RIBEIRO VILELA 719,JARDIM DOUTOR ANTONIO PETRAGLIA,FRANCA,SP
CO SAO JOAQUIM DA BARRA 01,14600001,RUA ORESTE QUERCIA 2128,CENTRO,SAO JOAQUIM DA BARRA,SP
CO BEBEDOURO 01,14700735,AVENIDA DIMER PIOVEZAN 669,JARDIM TALARICO,BEBEDOURO,SP
CO BARRETOS 01,14781327,AV. TRINTA E NOVE 01563,PIMENTA,BARRETOS,SP
CO ARARAQUARA 01,14807150,AVENIDA PADRE JOSE DE ANCHIETA 1531,HIGIENOPOLIS,ARARAQUARA,SP
CO JABOTICABAL 01,14890026,AVENIDA CAPITAO ALBERTO MENDES JUNIOR 477,NOVA JABOTICABAL,JABOTICABAL,SP
CO IBITINGA 02,14940000,RUA CAPITAO SIMOES 181,CENTRO,IBITINGA,SP
CO SAO JOSE DO RIO PRETO 02,15025500,RUA FRITZ JACOBS 1426,BOA VISTA,SAO JOSE DO RIO PRETO,SP
CO MIRASSOL 01,15134020,AVENIDA NILO PANDOLPHI 4150,INDUSTRIAL ALTO MIRASSOL,MIRASSOL,SP
JE BURITAMA 01,15290000,RUA FLORIANO PEIXOTO 916,,BURITAMA,SP
CO VOTUPORANGA 01,15503005,AVENIDA NASSER MARAO 1781,PARQUE INDUSTRIAL I,VOTUPORANGA,SP
CO CATANDUVA 01,15801340,RUA RIBEIRAO PRETO 647,VILA RODRIGUES,CATANDUVA,SP
CO MONTE ALTO 01,15910000,Rua DOUTOR RAUL DA ROCHA MEDEIROS 816,CENTRO,MONTE ALTO,SP
CO MATAO 02,15990010,RUA PRUDENTE DE MORAES 516,CENTRO,MATAO,SP
CO ARACATUBA 01,16025060,RUA CRISTIANO OLSEN 2548,SAO JOAO,ARACATUBA,SP
CO BIRIGUI 01,16204397,RUA ANTONIO SABADIN 139,PARQUE RESIDENCIAL LALUCE II,BIRIGUI,SP
CO LINS 01,16400100,RUA FLORIANO PEIXOTO 30,CENTRO,LINS,SP
CO BAURU 01 ,17012000,"AVENIDA DUQUE DE CAXIAS, 9-07 SANTA TEREZA",VILA SANTA TEREZA,BAURU,SP
CO JAU 02,17208263,AVENIDA NETINHO PRADO 760,JARDIM VILA MARIA,JAU,SP
CO MARILIA 01,17502170,RUA DOUTOR CESAR MARTINS PIRAJA 16,SENADOR SALGADO FILHO,MARILIA,SP
CO TUPA 01,17600360,AVENIDA TABAJARAS 1140,CENTRO,TUPA,SP
JE ADAMANTINA 01,17800000,ALAMEDA SANTA CRUZ 1087,CENTRO,ADAMANTINA,SP
JE PACAEMBU 01,17860000,AVENIDA SAO JOAO 1120,GUARANIUVA,PACAEMBU,SP
JE JUNQUEIROPOLIS 01,17890000,RUA CONSTANTINO MARCOLINO DE SOUSA 595,SANTA RUTH,JUNQUEIROPOLIS,SP
JE DRACENA 01,17900000,AVENIDA EXPEDICIONÁRIOS 1057,CENTRO,DRACENA,SP
CO SOROCABA 01,18085350,RUA APIAI 101,JARDIM LEOCADIA,SOROCABA,SP
CO VOTORANTIM 01,18112625,RUA JAZIEL DE AZEREDO RIBEIRO 468,JARDIM ANA CLAUDIA,VOTORANTIM,SP
CO SAO ROQUE 01,18131000,AVENIDA SAO ROQUE 45,ESTACAO,SAO ROQUE,SP
JE ARACOIABA DA SERRA 01,18190000,RUA JOAO ARANHA 678,JARDIM PLANALTO,ARACOIABA DA SERRA,SP
JE CAPELA DO ALTO 01,18195000,RUA CEL GUILHERME FRANCISCO WINCLER 374,CENTRO,CAPELA DO ALTO,SP
CO ITAPETININGA 01,18202220,AVENIDA JOAQUIM FOGACA DE ALMEIDA NETO 1153,JARDIM FOGACA,ITAPETININGA,SP
JE ANGATUBA 01,18240000,"RUA FRANCISCO TURELLI 703, C-1",CENTRO,ANGATUBA,SP
JE CAPAO BONITO 01,18300250,RUA FLORIANO PEIXOTO 670,CENTRO,CAPAO BONITO,SP
CO ITAPEVA 02,18406020,RUA EVERALDO MILTON CHIAVANI 95,CENTRAL PARK,ITAPEVA,SP
CO TIETE 01,18530000,RUA BOM JESUS 820,BACCILLI,TIETE,SP
CO BOITUVA 01,18550000,RUA MANOEL RODRIGUES GALVAO 411,JARDIM SANTA CRUZ,BOITUVA,SP
CO BOTUCATU 02,18609081,RUA DOUTOR JAGUARIBE 187,VILA DOS LAVRADORES,BOTUCATU,SP
CO LENCOIS PAULISTA 01,18685099,AVENIDA PREFEITO JACOMO NICOLAU PACCOLA 291,PARQUE RESIDENCIAL RONDON,LENCOIS PAULISTA,SP
CO AVARE 01,18706240,AVENIDA GILBERTO FILGUEIRAS 1646-1,COLINA DA BOA VISTA,AVARE,SP
CO PRESIDENTE PRUDENTE 01,19053575,AVENIDA CORONEL JOSE SOARES MARCONDES 4738,PARQUE HIGIENOPOLIS,PRESIDENTE PRUDENTE,SP
JE ALVARES MACHADO 01,19160000,AVENIDA DAS AMERICAS 505,,ALVARES MACHADO,SP
JE PRESIDENTE VENCESLAU 01,19400000,AVENIDA JORGE TIBIRICA 860,CENTRO,PRESIDENTE VENCESLAU,SP
JE PRESIDENTE EPITACIO 01,19470000,AVENIDA PRESIDENTE GETULIO VARGAS 2154,CENTRO,PRESIDENTE EPITACIO,SP
JE INDIANA 01,19560000,"AV. CASTRO ALVES 235, 3",,INDIANA,SP
JE REGENTE FEIJO 01,19570000,"AV. BARAO DO RIO BRANCO 21, SALA 3",CENTRO,REGENTE FEIJO,SP
CO ASSIS 02,19801140,RUA JOSE VIEIRA DA CUNHA E SILVA 1455,VILA SAO JORGE,ASSIS,SP
CO OURINHOS 01,19911640,RUA MATO GROSSO 485,VILA RECREIO,OURINHOS,SP
CO RIO DE JANEIRO 01,20220280,RUA PEDRO ALVES 54,SANTO CRISTO,RIO DE JANEIRO,RJ
CO RIO DE JANEIRO 12,20930450,RUA DO BONFIM 309,SAO CRISTOVAO,RIO DE JANEIRO,RJ
CO RIO DE JANEIRO 09,21020010,RUA BELISARIO PENA 29,PENHA,RIO DE JANEIRO,RJ
FL RIO DE JANEIRO,21021020,RUA COMANDANTE VERGUEIRO DA CRUZ 206,OLARIA,RIO DE JANEIRO,RJ
LJ RIO DE JANEIRO 01,21031175,RUA LUIS CAMARA 440,RAMOS,RIO DE JANEIRO,RJ
CO RIO DE JANEIRO 02,21031250,RUA FELISBELO FREIRE 622,RAMOS,RIO DE JANEIRO,RJ
CO RIO DE JANEIRO 03,21040300,RUA VINTE E QUATRO DE FEVEREIRO 69,BONSUCESSO,RIO DE JANEIRO,RJ
CO RIO DE JANEIRO 07,21051130,TRAVESSA EDUARDO 45 LT1,DEL CASTILHO,RIO DE JANEIRO,RJ
LJ RIO DE JANEIRO 05,21330790,ESTRADA INTENDENTE MAGALHAES 491,OSWALDO CRUZ,RIO DE JANEIRO,RJ
LJ RIO DE JANEIRO 06,21931380,RUA COLINA 60 LJ 28,JARDIM GUANABARA,RIO DE JANEIRO,RJ
CO RIO DE JANEIRO 04,22765006,AVENIDA TENENTECORONEL MUNIZ DE ARAGAO 887,ANIL,RIO DE JANEIRO,RJ
LJ RIO DE JANEIRO 04,22765240,ESTRADA DO ENGENHO DAGUA 1330 - BOX 40,ANIL,RIO DE JANEIRO,RJ
LJ RIO DE JANEIRO 02,22780160,"AVENIDA SALVADOR ALLENDE 6700 , LJ 137/138",JACAREPAGUA,RIO DE JANEIRO,RJ
CO RIO DE JANEIRO 08,23575386,RUA PROJETADA G LOTE 11,SANTA CRUZ,RIO DE JANEIRO,RJ
CO ANGRA DOS REIS 02,23910000,RODOVIA PROCURADOR HAROLDO FERNANDES DUARTE S/N,SAPINHATUBA I,ANGRA DOS REIS,RJ
CO PARATY 01,23970000,RUA JOAO DO PRADO 77,CHACARA,PARATY,RJ
CO NITEROI 01,24030050,RUA MARQUES DE CAXIAS 242,CENTRO,NITEROI,RJ
CO SAO GONCALO 01,24466180,TRAVESSA FREDERICO MARQUES 3804,BOA VISTA,SAO GONCALO,RJ
CO ITABORAI 01,24809234,RODOVIA GOVERNADOR MARIO COVAS 234,TRES PONTES,ITABORAI,RJ
CO MARICA 02,24931000,RODOVIA ERNANI DO AMARAL PEIXOTO 20316 KM 20,SAO JOSE DO IMBASSAI,MARICA,RJ
CO DUQUE DE CAXIAS 01,25065165,"RUA EXPEDICIONARIO JOSE AMARO 20, GALP.B, GALP.C",VILA SAO SEBASTIAO,DUQUE DE CAXIAS,RJ
CO PETROPOLIS 01,25650028,"RUA GENERAL RONDON 1000, LJ 21 e 22",QUITANDINHA,PETROPOLIS,RJ
CO TRES RIOS 01,25870000,ESTRADA UNIAO INDUSTRIA 922 - Km 130,RETA,COMENDADOR LEVY GASPARIAN,RJ
CO GUAPIMIRIM 01,25940187,RUA COPERNICO 51,VILA OLIMPIA,GUAPIMIRIM,RJ
CO TERESOPOLIS 01,25976065,RUA ALEXANDRE FLEMING LOJA 452,VALE DO PARAISO,TERESOPOLIS,RJ
CO BELFORD ROXO 02,26120252,AVENIDA RETIRO DA IMPRENSA 794,HELIOPOLIS,BELFORD ROXO,RJ
CO QUEIMADOS 01,26383140,AVENIDA CAMARIM N 46,VILA DO TINGUA,QUEIMADOS,RJ
CO BARRA DO PIRAI 01,27120320,AVENIDA VEREADOR CHEQUER ELIAS 2305,VILA HELENA,BARRA DO PIRAI,RJ
CO VOLTA REDONDA 01,27274200,AVENIDA ALMIRANTE ADALBERTO DE BARROS NUNES 5070,RETIRO,VOLTA REDONDA,RJ
CO CAMPOS DOS GOYTACAZES 01,28093530,RUA UM 17,PARQUE AEROPORTO,CAMPOS DOS GOYTACAZES,RJ
CO SANTO ANTONIO DE PADUA 01,28470000,Rua CHICRALA ANTONIO 137 - Lj. 01,FERREIRA ,SANTO ANTONIO DE PADUA,RJ
CO NOVA FRIBURGO 01,28605250,RUA CORONEL LAUDEMIRO DAS MERCES FERREIRA 119,LOTEAMENTO SAO JOAO,NOVA FRIBURGO,RJ
LJ RIO DAS OSTRAS 01,28893052,RUA RAUL DE OLIVEIRA RODRIGUES 74 LJ 108,CENTRO,RIO DAS OSTRAS,RJ
CO CABO FRIO 01,28911050,RUA LOS ANGELES 33,JARDIM OLINDA,CABO FRIO,RJ
CO ARARUAMA 01,28970000,RODOVIA RJ 124,ITATIQUARA,ARARUAMA,RJ
CO VITORIA 01,29053310,RUA MARIA DE LOURDES GARCIA 425,MONTE BELO,VITORIA,ES
CO VILA VELHA 02,29104075,RUA ROSA DE PRATA S/N,NOVO MEXICO,VILA VELHA,ES
FL VITORIA,29135000,RODOVIA BR 262 S/N,RIBEIRA,VIANA,ES
LJ CARIACICA 01,29140050,RUA AMERICA 10,JARDIM AMERICA,CARIACICA,ES
CO VIANA 01,29146550,RUA EDGAR GONCALVES 703,CAMPO GRANDE,CARIACICA,ES
CO SERRA 01,29164030,RUA CASTELO 168,JARDIM LIMOEIRO,SERRA,ES
CO GUARAPARI 01,29212001,AVENIDA GOVERNADOR JONES DOS SANTOS NEVES 1087,FATIMA CIDADE JARDIM,GUARAPARI,ES
CO CACHOEIRO DE ITAPEMIRIM 02,29313669,RUA IRMA GIOVANNA MENECHINI 115,MARBRASA,CACHOEIRO DE ITAPEMIRIM,ES
CO COLATINA 02,29703100,AVENIDA SILVIO AVIDOS 2272,SAO SILVANO,COLATINA,ES
CO LINHARES 01,29906710,AVENIDA GOULART DE ANDRADE 21,PALMITAL,LINHARES,ES
